NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASEMENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6648,40,,B3,1758 WEST 8 STREET,,11223,2,0,2,"1,700","1,449",1910,1,B3,"8,60,000",20/04/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6649,69,,B1,1755 WEST 8TH STREET,,11223,2,0,2,"1,650","1,504",1920,1,B1,"7,30,000",22/04/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6656,60,,B3,1741 WEST 1ST STREET,,11223,2,0,2,"2,000","1,512",1930,1,B3,"9,90,000",30/12/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6667,12,,B2,1816 WEST 13TH STREET,,11223,2,0,2,"2,950","2,436",1915,1,B2,"13,47,000",16/11/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6667,16,,B3,1824 WEST 13TH STREET,,11223,2,0,2,"3,500","2,160",1915,1,B3,"11,12,000",02/02/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6668,40,,B1,1882 WEST 12TH STREET,,11223,2,0,2,"2,500","2,200",1930,1,B1,"13,00,000",21/01/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6671,62,,B2,1863 WEST 10TH STREET,,11223,2,0,2,"2,000","1,440",1925,1,B2,"9,60,000",13/05/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6674,5,,S2,180 HIGHLAWN AVENUE,,11223,2,1,3,"1,908","2,560",1920,1,S2,"9,50,000",13/10/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6675,18,,B2,1832 WEST 5TH STREET,,11223,2,0,2,"2,400","2,292",1920,1,B2,"12,00,000",10/06/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6675,20,,B2,1834 WEST 5TH STREET,,11223,2,0,2,"2,400","2,292",1920,1,B2,"12,00,000",22/12/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6677,51,,B3,1875 WEST 4TH,,11223,2,0,2,"1,800","2,196",1945,1,B3,"10,56,000",17/11/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6677,65,,B3,1839 WEST 4TH STREET,,11223,2,0,2,"2,000","1,232",1925,1,B3,"9,00,000",17/09/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6678,1,,B9,4 LLOYD COURT,,11223,2,0,2,"2,400","2,440",1920,1,B9,"16,25,000",26/05/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6679,26,,B1,48 LAKE STREET,,11223,2,0,2,"1,700","2,128",1915,1,B1,"9,08,000",29/10/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6679,29,,B1,56 LAKE STREET,,11223,2,0,2,"2,133","1,928",1955,1,B1,"9,60,000",08/04/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6679,59,,B3,107 VANSICKLEN STREET,,11223,2,0,2,"2,200","1,368",1915,1,B3,"8,88,000",10/06/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6864,50,,B9,14 BAY 37TH STREET,,11214,2,0,2,"2,900","3,288",1965,1,B9,"15,50,000",30/08/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6869,68,,B9,8670 26TH AVENUE,,11214,2,0,2,"1,933","2,210",1955,1,B9,"10,61,500",16/12/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6873,9,,B9,8767 23RD AVENUE,,11214,2,0,2,"1,936","2,071",1960,1,B9,"13,30,000",02/04/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6876,33,,B1,8719 24TH AVENUE,,11214,2,0,2,"2,127","1,620",1925,1,B1,"9,99,000",19/10/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6878,87,,B9,8770 25TH AVENUE,,11214,2,0,2,"1,933","2,400",1965,1,B9,"13,00,000",18/06/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6879,21,,B1,8743 25TH AVENUE,,11214,2,0,2,"1,740","1,856",1950,1,B1,"11,50,000",23/08/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6880,28,,B1,123 BAY 40TH STREET,,11214,2,0,2,"1,933","3,245",1930,1,B1,"12,99,000",18/06/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6880,43,,B3,89 BAY 40 STREET,,11214,2,0,2,"1,740","1,728",1950,1,B3,"9,00,000",27/04/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6880,46,,B3,2540 BENSON AVENUE,,11214,2,0,2,"2,507","2,040",1950,1,B3,"11,75,000",19/01/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6880,55,,B3,96 BAY 41ST STREET,,11214,2,0,2,"1,804","1,728",1955,1,B3,"9,60,000",09/09/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6880,77,,B1,154 BAY 41ST STREET,,11214,2,0,2,"1,933","1,800",1955,1,B1,"9,70,000",25/05/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6881,72,,B9,8740 26TH AVENUE,,11214,2,0,2,"1,933","2,256",1955,1,B9,"10,80,000",18/02/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6894,38,,B9,2510 BATH AVENUE,,11214,2,0,2,"2,483","1,360",1955,1,B9,"9,70,000",21/04/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6895,68,,B3,244 BAY 41ST STREET,,11214,2,0,2,"2,739","1,188",1950,1,B3,"9,30,000",13/05/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6898,5,,B2,2637 HARWAY AVENUE,,11214,2,0,2,"4,620","2,211",1925,1,B2,"11,50,000",07/07/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6898,63,,B1,168 BAY 44TH STREET,,11214,2,0,2,"1,998","1,616",1950,1,B1,"9,00,000",21/12/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6899,47,,B9,110 27TH AVENUE,,11214,2,0,2,"1,885","1,966",1950,1,B9,"11,00,000",30/12/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6902,61,,B1,50 28TH AVENUE,,11214,2,0,2,"1,933","1,360",1920,1,B1,"7,25,000",26/01/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6903,35,,B1,2346 STILLWELL AVENUE,,11223,2,0,2,"3,801","1,544",1910,1,B1,"11,50,000",15/04/21
